19260
0	70	0
5158	5360	71
7843	7990	274
12409	12545	422
14324	14452	559
15175	15330	688
16711	16894	844
22773	23068	1028
26269	27031	1324
0	290	0
2773	2920	291
7339	7475	439
9254	9382	576
10105	10260	705
11641	11824	861
17703	21961	1045
0	447	0
2610	2762	448
2982	3130	601
6669	6877	750
8016	8174	959
9400	9467	1118
10140	10270	1186
10479	10549	1317
12164	12301	1388
13689	14069	1526
0	406	0
1063	2174	407
0	2174	0
0	584	0
4671	4777	585
4845	4963	692
6832	7007	811
7374	7463	987
7950	7998	1077
11583	11739	1126
12241	12327	1283
12768	12842	1370
13301	13403	1445
13657	13760	1548
27472	27657	1652
52435	53022	1838
0	258	0
6122	6830	259
10274	10482	968
16477	16534	1177
16655	16743	1235
20047	22479	1324
0	258	0
6122	6830	259
10274	10482	968
16477	16534	1177
16655	16743	1235
34441	35067	1324
0	664	0
2722	2806	665
6284	6404	750
8305	8649	871
11906	12039	1216
15937	16103	1350
18310	18409	1517
22060	22227	1617
0	664	0
2722	2806	665
6284	6404	750
8066	8228	871
11906	12039	1034
15937	16103	1168
22060	22227	1335
0	664	0
2722	2806	665
6284	6404	750
8066	8228	871
11906	12039	1034
15937	16103	1168
18310	18412	1335
22060	22227	1438
0	79	0
5955	6042	80
13878	13979	168
16978	17120	270
19719	19842	413
19959	20088	537
21537	21709	667
25528	25661	840
26627	26656	974
31691	31826	1004
35123	35219	1140
36646	36727	1237
36828	37018	1319
0	79	0
5955	6042	80
13878	13979	168
16978	17120	270
19719	19842	413
19959	20088	537
21537	21709	667
25528	25661	840
26627	26656	974
31691	31826	1004
40602	41135	1140
0	79	0
5955	6018	80
13878	13979	144
16978	17120	246
19719	19842	389
19959	20088	513
21537	21709	643
25528	25661	816
26627	26656	950
31691	31826	980
35123	35219	1116
36646	36727	1213
40602	41135	1295
0	79	0
5955	6042	80
13878	13979	168
16978	17120	270
19719	19842	413
19959	20088	537
21537	21709	667
25528	25661	840
26627	26656	974
31691	31826	1004
35123	35219	1140
36646	36727	1237
40602	41135	1319
0	79	0
5955	6018	80
13609	13760	144
13878	13979	296
16978	17120	398
19719	19842	541
19959	20088	665
21537	21709	795
25528	25661	968
26627	26656	1102
31691	31826	1132
35123	35219	1268
36646	36727	1365
40602	41135	1447
0	79	0
13878	13979	80
19719	19842	182
19959	20088	306
21537	21709	436
25528	25661	609
26627	26656	743
31691	31826	773
35123	35219	909
36646	36727	1006
40602	41135	1088
0	79	0
5955	6042	80
13878	13979	168
16978	17120	270
19719	19842	413
19959	20088	537
21537	21709	667
36646	36727	840
40602	41135	922
0	79	0
5955	6042	80
13878	13979	168
16978	17120	270
19719	19842	413
19959	20088	537
21537	21709	667
25528	25661	840
26627	26656	974
35123	35219	1004
36646	36727	1101
40602	41135	1183
0	101	0
3100	3242	102
5841	5964	245
6081	6210	369
7659	7831	499
11650	11783	672
12749	12778	806
17813	17948	836
20583	20684	972
21245	21341	1074
22768	22849	1171
26724	27257	1253
0	101	0
3100	3242	102
5841	5964	245
6081	6210	369
7659	7831	499
11650	11783	672
12749	12778	806
17813	17948	836
22768	22849	972
26724	27257	1054
0	74	0
0	310	0
5112	5213	311
8700	8818	413
11815	11929	532
15484	15616	647
15706	15890	780
19605	19720	965
22245	22271	1081
28522	28636	1108
42043	42148	1223
44407	44488	1329
45775	46073	1411
0	310	0
5112	5213	311
15484	15616	413
15706	15890	546
19605	19720	731
22245	22271	847
28522	28636	874
42043	42148	989
44407	44488	1095
45775	46073	1177
0	607	0
1127	1267	608
3089	3575	749
5747	5994	1236
0	199	0
1800	1933	200
2342	2373	334
0	55	0
931	1694	56
2930	3054	820
12212	13055	945
0	55	0
931	1694	56
2930	3054	820
12212	12357	945
13231	13779	1091
14212	14890	1640
0	350	0
9593	9715	351
14834	14977	474
15843	15975	618
18519	18703	751
22386	22548	936
24595	24982	1099
29130	29238	1487
31883	31944	1596
32555	32619	1658
39047	39178	1723
49609	49838	1855
0	350	0
9593	9715	351
14834	14977	474
15843	15975	618
18519	18703	751
22386	22548	936
24595	24982	1099
29130	29238	1487
31883	31944	1596
32555	32619	1658
35958	36005	1723
39047	39178	1771
49609	49838	1903
0	350	0
9593	9715	351
14834	14977	474
15843	15975	618
18519	18703	751
22386	22548	936
24595	24982	1099
29130	29238	1487
31883	31944	1596
32555	32619	1658
35958	36005	1723
39047	39178	1771
50479	50623	1903
0	4009	0
74348	74571	4010
0	176	0
1851	2631	177
3791	3939	958
7599	7839	1107
8545	8614	1348
9066	10921	1418
