chrX	276395	281481	+
chrX	281685	284166	+
chrX	284315	288732	+
chrX	288870	290647	+
chrX	290777	291498	+
chrX	291655	293034	+
chrX	293219	299096	+
chrX	299393	302592	+
chrX	305198	307359	-
chrX	307513	307731	-
chrX	307881	311418	-
chrX	311628	312765	-
chrX	312925	314149	-
chrX	314218	314889	-
chrX	315021	315228	-
chrX	315300	316913	-
chrX	317052	318438	-
chrX	319552	320207	+
chrX	334518	338603	-
chrX	338711	338777	-
chrX	338897	340764	-
chrX	340941	341306	-
chrX	341397	341882	-
chrX	341932	345515	-
chrX	345673	346173	-
chrX	346261	346700	-
chrX	346776	347233	-
chrX	347337	347589	-
chrX	347694	361404	-
chrX	361591	386367	-
chrX	624603	630465	+
chrX	631175	634617	+
chrX	634827	640820	+
chrX	640879	640998	+
chrX	641088	644390	+
chrX	641088	658784	+
chrX	1191161	1193217	-
chrX	1193303	1196779	-
chrX	1196901	1198561	-
chrX	1196901	1198800	-
chrX	1198725	1202401	-
chrX	1199146	1202401	-
chrX	1202536	1206432	-
chrX	1206600	1208805	-
chrX	1206600	1212555	-
chrX	1208906	1212555	-
chrX	1208909	1212555	-
chrX	1268880	1274754	+
chrX	1268880	1282677	+
chrX	1274819	1282408	+
chrX	1274819	1282677	+
chrX	1274843	1282677	+
chrX	1282561	1282677	+
chrX	1282780	1285777	+
chrX	1282780	1288518	+
chrX	1285921	1288518	+
chrX	1288643	1288758	+
chrX	1288889	1290336	+
chrX	1290510	1294327	+
chrX	1290510	1305445	+
chrX	1294462	1295426	+
chrX	1295457	1300490	+
chrX	1295457	1303922	+
chrX	1300627	1303260	+
chrX	1300627	1303922	+
chrX	1300627	1305445	+
chrX	1300627	1309401	+
chrX	1303363	1303922	+
chrX	1304020	1305445	+
chrX	1305528	1305627	+
chrX	1305528	1309401	+
chrX	1336927	1341727	+
chrX	1341830	1345315	+
chrX	1341830	1352099	+
chrX	1345435	1348430	+
chrX	1348546	1352099	+
chrX	1352233	1352321	+
chrX	1352507	1356220	+
chrX	1356337	1358860	+
chrX	1358888	1365137	+
chrX	1365253	1378658	+
chrX	1378765	1381022	+
chrX	1381105	1382390	+
chrX	1386760	1387278	-
chrX	1387420	1389240	-
chrX	1389728	1391898	-
chrX	1397225	1398824	+
chrX	1398959	1399366	+
chrX	1400587	1401461	+
chrX	1402226	1403460	+
chrX	1403490	1412731	-
chrX	1403586	1412742	+
chrX	1412855	1417972	-
chrX	1412889	1413761	+
chrX	1414311	1414742	+
chrX	1418117	1418981	-
chrX	1419115	1421657	-
chrX	1421843	1425524	-
chrX	1425688	1427733	-
chrX	1428122	1432268	-
chrX	1432378	1435021	-
chrX	1435084	1435693	-
chrX	1435759	1439096	-
chrX	1435759	1442185	-
chrX	1439145	1442185	-
chrX	1442318	1452747	-
chrX	1442318	1453617	-
chrX	1466583	1536920	-
chrX	1591770	1593443	+
chrX	1594225	1595383	+
chrX	1595533	1599191	+
chrX	1595533	1615132	+
chrX	1599433	1600137	+
chrX	1599433	1600658	+
chrX	1600208	1600658	+
chrX	1615269	1623138	+
chrX	1623314	1624268	+
chrX	1624399	1627702	+
chrX	1627772	1629820	+
chrX	1629940	1632703	+
chrX	1629940	1636437	+
chrX	1632788	1633149	+
chrX	1633291	1636437	+
chrX	1636561	1642802	+
chrX	2221230	2243022	-
chrX	2243231	2266739	-
chrX	2266948	2291501	-
chrX	2291604	2408744	-
chrX	2408814	2425196	-
chrX	2425305	2500816	-
chrX	2490770	2500816	-
chrX	2490773	2500310	-
chrX	2490773	2500816	-
chrX	2609482	2610995	+
chrX	2611039	2612149	+
chrX	2612219	2615815	+
chrX	2613697	2614716	-
chrX	2615970	2618739	+
chrX	2618785	2619428	+
chrX	2619498	2622689	+
chrX	2619498	2623384	+
chrX	2622735	2623384	+
chrX	2623454	2626596	+
chrX	2626643	2637973	+
chrX	2626643	2655026	+
chrX	2691428	2714421	+
chrX	2714455	2717604	+
chrX	2714455	2719660	+
chrX	2717653	2719660	+
chrX	2719706	2720355	+
chrX	2720425	2722626	+
chrX	2722675	2723313	+
chrX	2723365	2726259	+
chrX	2726374	2733356	+
chrX	2726374	2738199	+
chrX	2733375	2738202	+
chrX	2738257	2740778	+
chrX	2752336	2770549	+
chrX	2770592	2774715	+
chrX	2774740	2782065	+
chrX	2782129	2789643	+
chrX	2789707	2794534	+
chrX	2789710	2794534	+
chrX	2794604	2797309	+
chrX	2797361	2806700	+
chrX	2797361	2808184	+
chrX	2806746	2808184	+
chrX	2808221	2811335	+
chrX	2811453	2814363	+
chrX	2828976	2830060	+
chrX	2830196	2842997	+
chrX	2830196	2843212	+
chrX	2830196	2853979	+
chrX	2843091	2843212	+
